지점명,지점주소,경도,위도,횟수
렌터카,서울 동대문구 천호대로 329,127.0566181,37.56440627,3368
DS부산 FLS,부산 부산진구 신천대로 241,129.0493159,35.16330698,3162
KA대치 AS,서울 강남구 영동대로 318,127.0669897,37.50301926,3070
DA수원 SF,경기 수원시 권선구 권선로 308-5,126.9878388,37.25806784,3038
JL대전 AS,대전 서구 둔산남로 50,127.3835515,36.34804028,2970
HD용산FL AS,서울 용산구 원효로 242,126.9683138,37.53923512,2448
HS부산센텀 AS,부산 해운대구 수영강변대로 588,129.1221397,35.20966368,2446
KCC제주자일 AS,제주특별자치도 제주시 선반남2길 63,126.5661242,33.51285981,2359
HD서초FL AS,서울 서초구 반포대로 72,127.0105879,37.48693021,2357
AJU한남 AS,서울 용산구 한남대로 98,127.0055166,37.53716704,2357
도이치모터스MKT,서울 성동구 동일로 111,127.0637671,37.54263686,2279
HS인천AS,인천 중구 축항대로86번길 38,126.6046851,37.45357725,2271
HS용답AS,서울 성동구 자동차시장1길 104-65,127.0682488,37.55870411,2118
SCL천안 AS,충남 천안시 서북구 천안대로 1265,127.1540091,36.85409596,2053
TA주안 AS,인천 미추홀구 인주대로434번길 3,126.6850995,37.45079671,2018
KS성수 AS,서울 성동구 광나루로6길 46,127.0639351,37.54589118,1988
HS수원AS,경기 용인시 기흥구 중부대로 23-2,127.0718353,37.26877799,1923
HS성수AS,서울 성동구 동일로 55,127.0612263,37.53828286,1892
KLAM김포 SELEKT,경기 김포시 고촌읍 아라육로152번길 45,126.78373,37.59583776,1828
KL신대구미니AS,대구 서구 와룡로 464,128.5393559,35.87395992,1827
H대전AS,대전 유성구 한밭대로 378,127.3414045,36.36279357,1769
렉서스 부산AS,부산 사상구 학감대로 88,128.9910253,35.14019799,1760
KL관평 AS,대전 유성구 테크노중앙로 77-69,127.400757,36.42373149,1659
KCC원주 AS,강원 원주시 북원로 2515,127.9407391,37.3690545,1622
BV 드라이빙센터 AS,인천 중구 공항동로 136,126.4854499,37.4623831,1621
토요타 성수BPAS,서울 성동구 광나루로 262,127.0587907,37.54803048,1618
개인회원,서울 동대문구 천호대로 329,127.0566161,37.5644069,1604
DT남양주 AS,경기 남양주시 다산중앙로19번길 25-29,127.1546225,37.6136441,1554
렉서스 일산AS,경기 고양시 일산동구 백마로 512,126.8049883,37.6626895,1517
렉서스 성수AS,서울 성동구 광나루로 262,127.0587907,37.54803048,1512
토요타 분당AS,경기 성남시 분당구 새마을로 59,127.1374056,37.38345035,1469
BA 동대문AS,서울 성동구 고산자로 348,127.0380038,37.57052365,1452
DS울산 FLS,울산 북구 진장유통로 64,129.359025,35.57600457,1441
KLAM서초AS,서울 서초구 사임당로 114,127.0222713,37.49048936,1397
H수원AS,경기 수원시 영통구 매영로 171,127.0611495,37.26595112,1315
IR광안AS,부산 수영구 광남로 147,129.1173732,35.15451176,1276
렉서스 수원AS(Central),경기 용인시 기흥구 영통로525번길 2,127.0767556,37.26592888,1253
토요타 강서AS,서울 강서구 양천로47가길 19,126.8387884,37.57103399,1251
렉서스 용산AS,서울 용산구 녹사평대로 206,126.9873165,37.53626945,1243
차란차_오토월드,경기 수원시 권선구 권선로 308-5,126.9878388,37.25806784,1230
EN대구 AS,대구 동구 화랑로 574,128.6864094,35.8738878,1214
WB광주 AS,광주 광산구 상완길 307,126.8260941,35.20805963,1183
KA서대구 AS,대구 달서구 와룡로 170,128.5376293,35.84780393,1163
DA광주 AS,광주 서구 상무대로 957,126.8667592,35.15183966,1117
TA남산 AS,서울 중구 동호로 211,127.0088242,37.55671734,1114
H분당서현AS,경기 성남시 분당구 새마을로51번길 1,127.1358048,37.38369718,1096
